seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:122:BPA73120-0622:1:1105:14790:1500,004008,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:1340:1510,002790,98,0.09259259259259256,10,PCR1
FS10000169:122:BPA73120-0622:1:1105:15470:1540,005572,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:13900:1400,003159,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:8620:1530,010585,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:11180:1720,005635,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:11840:1640,005221,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:15540:1710,006799,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:1890:1770,001031,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:14140:1910,004201,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:3130:1990,008422,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:13630:2060,004008,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:14950:2060,005670,75,0.5,150,PCR1
