seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
1304,0.9960772,0,1.0002716,0.4379274277898463,1
1308,1.0019405,0,0.9998072,0.5424008367527556,1
1317,1.0029323,0,1.0002089,0.45203422104218627,1
1322,0.9984135,0,0.9994926,0.6131761740016628,1
1325,1.0022513,0,0.9998823,0.525504867648242,1
1333,1.0008156,0,0.99982804,0.5377075120015018,1
1341,1.0027305,0,1.0000514,0.4874621181645077,1
1344,1.0039245,0,0.9995905,0.5911443666693486,1
1347,1.0028406,0,1.0001206,0.4718802799903452,1
1349,1.0011598,0,0.99948764,0.6142891624426744,1
1353,0.9986953,0,1.0000399,0.4900367420280527,1
1357,1.0045564,0,1.0010045,0.27304422452865607,1
1365,1.0047206,0,0.9995166,0.6077721457880763,1
1366,1.0047069,0,1.0008155,0.31555233727572607,1
1370,0.99817604,0,0.99994355,0.5117199023788452,1
1375,0.99866694,0,1.0000234,0.4937645828304771,1
1386,0.99805653,0,0.9996183,0.5848955400005365,1
1388,1.0015285,0,0.9996351,0.5811140612009548,1
1390,0.99383473,0,0.99958813,0.5916807466409204,1
1400,1.0014881,0,0.9991143,0.6982862659908279,1
1402,1.0026823,0,0.99871767,0.7875130742618071,1
1404,1.0001938,0,0.99915767,0.68852415050822,1
1410,0.9969638,0,0.99999833,0.49939657253198166,1
1423,1.0135704,0,0.99964833,0.5781371523587309,1
1425,0.99859023,0,0.9998025,0.54346018719661,1
1433,0.9870774,0,0.9997654,0.5518008957545526,1
1439,1.0005443,0,0.99998224,0.5030171373400918,1
1465,1.0024266,0,0.9998505,0.5326521307694371,1
1472,1.0058353,0,1.0001779,0.4590071606726205,1
1478,0.9981928,0,0.99921596,0.675409660203288,1
1484,1.0051594,0,0.9991204,0.6969050875640304,1
1489,1.0052842,0,1.0002463,0.44361305548850805,1
1496,1.0042502,0,0.9996394,0.5801485772521254,1
1497,1.0002024,0,1.0001029,0.4758763107785555,1
1498,1.0019963,0,0.9997556,0.5540000536379972,1
1500,1.0024037,0,1.0007397,0.33260922037171137,1
1503,0.9997205,0,1.0009207,0.2918979805294071,1
1504,1.0031316,0,0.9995295,0.6048756939415882,1
1510,1.0004456,0,1.0003713,0.41547992597956396,1
1514,0.99587405,0,0.99994546,0.5112907984015878,1
